,Pred_0,real_0
0,1200,1161
1,1200,631
2,374,1161
3,332,1161
4,1267,1086
5,1200,1161
6,1200,1026
7,1200,651
8,1200,1161
9,1219,650
10,1200,743
11,666,650
12,1493,269
13,127,1161
14,292,900
15,1200,629
16,374,1244
17,1152,332
18,1504,414
19,1200,344
20,535,91
21,930,1161
22,535,900
23,1200,437
24,632,766
25,292,332
26,1200,1026
27,1007,497
28,1200,905
29,1200,180
30,1200,1482
31,1200,1161
32,540,1181
33,1200,214
34,687,1117
35,1504,1482
36,210,98
37,1200,1208
38,109,1117
39,1200,1161
40,1235,1161
41,1200,75
42,1246,900
43,1200,397
44,82,678
45,1200,1161
46,363,629
47,1200,704
48,1200,756
49,1200,497
50,1200,314
51,1200,1161
52,292,1074
53,233,1161
54,963,1026
55,1200,1161
56,243,122
57,292,1218
58,1517,650
59,737,1250
60,72,1161
61,1200,1161
62,855,1161
63,798,1244
64,1200,1208
65,1200,376
66,794,314
67,1200,1161
68,932,1161
69,1200,1352
70,1200,428
71,1200,1161
72,1200,23
73,1200,205
74,660,261
75,932,1116
76,226,232
77,1200,900
78,1200,870
79,1200,503
80,1246,1161
81,1200,1337
82,932,900
83,1200,900
84,1246,1161
85,344,1161
86,932,764
87,343,1161
88,775,900
89,687,1161
90,1200,1386
91,1200,1105
92,1246,1071
93,1200,985
94,687,261
95,1200,313
96,1200,1161
97,1200,650
98,343,1161
99,1287,314
100,687,1161
101,1246,898
102,1200,1419
103,663,1377
104,1419,1161
105,1246,1106
106,1200,1074
107,1181,1460
108,243,1161
109,1246,502
110,1200,650
111,258,1161
112,1200,900
113,1200,1161
114,932,1378
115,1200,650
116,1200,1161
117,1244,1161
118,1200,760
119,1200,186
120,1523,269
121,932,1455
122,1200,143
123,1200,1117
124,1200,798
125,1200,717
126,1523,1161
127,548,1161
128,1066,296
129,1034,497
130,1200,900
131,1200,1208
132,646,269
133,1089,1161
134,869,848
135,457,1161
136,231,1161
137,1200,1161
138,1200,1161
139,1200,900
140,105,1161
141,535,1106
142,1200,99
143,1523,1161
144,1091,95
145,1200,1161
146,1134,1161
147,1200,1161
148,1200,51
149,344,1377
150,1200,314
151,1200,766
152,374,1161
153,1249,870
154,687,1161
155,687,403
156,1200,766
157,1200,1161
158,794,1460
159,610,497
160,932,242
161,72,239
162,1200,650
163,292,76
164,1152,1419
165,1200,197
166,1200,680
167,1200,1049
168,1200,167
169,1143,474
170,932,189
171,215,900
172,312,1161
173,264,1161
174,698,1083
175,687,1143
176,292,1456
177,363,1161
178,1031,240
179,535,1161
180,1200,1161
181,788,1208
182,1181,358
183,72,580
184,344,675
185,363,1161
186,1028,1244
187,687,497
188,1200,1161
189,1519,766
190,1047,1161
191,932,1161
192,1249,1161
193,1200,314
194,1200,1125
195,687,415
196,687,332
197,199,142
198,1200,1161
199,1200,1208
200,1499,1161
201,1151,1161
202,1086,1161
203,1200,1452
204,1200,1161
205,1493,344
206,460,1161
207,1200,1161
208,932,214
209,1200,1348
210,1200,1161
211,206,1161
212,1200,1161
213,243,650
214,1200,1348
215,1200,1117
216,1200,1161
217,1246,902
218,313,1161
219,1200,1161
220,1200,1096
221,1200,760
222,932,497
223,1200,1161
224,1200,1208
225,1200,1161
226,1138,1117
227,292,1161
228,687,1161
229,1504,1161
230,1200,870
231,1200,1017
232,231,1161
233,82,839
234,744,1161
235,1333,900
236,292,793
237,1200,1161
238,405,1161
239,1200,1161
240,1092,132
241,580,802
242,788,378
243,1200,746
244,1200,1161
245,155,1161
246,1200,286
247,1113,1161
248,1247,1161
249,1200,69
250,1287,1060
251,215,1474
252,1200,1387
253,982,489
254,1092,1101
255,995,114
256,932,266
257,1022,954
258,1134,332
259,1200,1161
260,1200,987
261,1152,813
262,105,746
263,687,764
264,1134,650
265,1200,1161
266,1200,1026
267,344,269
268,1200,760
269,1066,848
270,1200,650
271,932,269
272,363,766
273,1200,461
274,363,1136
275,1200,269
276,1200,989
277,1200,1161
278,218,780
279,292,1161
280,1200,1161
281,1200,650
282,1495,1161
283,932,1380
284,117,650
285,374,1208
286,687,1117
287,535,114
288,531,650
289,1124,1161
290,788,1474
291,1200,1161
292,1200,1161
293,292,1161
294,231,1161
295,1200,756
296,535,1161
297,1200,1161
298,932,1161
299,1181,1161
300,476,1161
301,363,187
302,1200,511
303,1200,1161
304,1200,1123
305,932,142
306,363,996
307,1200,1161
308,1036,715
309,1200,1161
310,1044,1161
311,1200,1161
312,1200,1208
313,1200,1161
314,1200,1161
315,1200,1161
316,1460,269
317,1246,900
318,1200,1460
319,1122,1208
320,1246,344
321,363,887
322,932,1161
323,1517,1161
324,1523,1117
325,932,1161
326,1200,1208
327,1246,152
328,1200,497
329,535,440
330,1200,813
331,460,1161
332,1054,1161
333,363,1361
334,258,1161
335,1419,685
336,1200,1161
337,292,766
338,1036,746
339,907,502
340,1215,1161
341,1419,1161
342,1200,1161
343,1200,269
344,499,197
345,224,1037
346,1033,95
347,932,344
348,1287,1161
349,1506,197
350,1134,1037
351,1200,900
352,1200,900
353,1419,948
354,1200,1161
355,231,1161
356,1200,1424
357,1200,1161
358,1200,1161
359,1200,1161
360,95,650
361,1200,1482
362,1200,269
363,226,1208
364,1200,987
365,555,269
366,1200,1482
367,729,1161
368,1200,1161
369,678,1161
370,1115,1161
371,1200,1161
372,82,269
373,1200,900
374,687,1161
375,231,344
376,869,1002
377,782,1005
378,1504,1161
379,1200,918
380,1066,987
381,343,900
382,687,180
383,1200,1161
384,794,1161
385,932,186
386,460,1332
387,660,807
388,932,478
389,1200,1064
390,1200,1161
391,105,1161
392,540,987
393,540,670
394,1200,675
395,1200,397
396,1181,1161
397,1200,831
398,932,900
399,1066,900
400,105,1025
401,1126,1161
402,207,1161
403,1200,900
404,105,1161
405,1200,1208
406,932,1387
407,1521,827
408,1200,1161
409,292,1380
410,1523,1161
411,907,1161
412,932,1161
413,460,1161
414,1200,428
415,387,1161
416,1200,162
417,1200,1161
418,1257,1474
419,1034,1161
420,1034,629
421,1053,197
422,1200,214
423,289,1161
424,932,1208
425,1200,1365
426,292,589
427,1430,631
428,932,75
429,1066,1208
430,1200,1117
431,510,1161
432,1200,746
433,1200,1208
434,1200,643
435,363,760
436,1200,900
437,433,1208
438,1504,1161
439,1200,1208
440,907,1161
441,930,1250
442,932,1051
443,1200,1161
444,1200,303
445,105,992
446,109,1161
447,907,1161
448,350,332
449,1287,1259
450,907,900
451,1200,1161
452,907,126
453,82,315
454,1200,900
455,932,497
456,1504,506
457,1189,1161
458,1200,900
459,1200,1053
460,950,1330
461,1200,1244
462,374,1161
463,1445,1161
464,794,1026
465,808,95
466,1200,1161
467,1200,1208
468,292,1161
469,1200,1184
470,1200,189
471,1189,984
472,1200,1161
473,446,1161
474,460,95
475,392,1161
