,Pred_0,real_0
0,1200,1225
1,363,1176
2,932,217
3,1412,279
4,1226,1176
5,907,126
6,1460,1176
7,1200,911
8,1200,1176
9,1200,786
10,1200,98
11,932,279
12,821,693
13,1246,1225
14,535,1176
15,81,1176
16,535,276
17,1143,346
18,1200,496
19,1200,1361
20,1200,107
21,1200,1176
22,1200,766
23,775,466
24,1066,1176
25,1200,1176
26,1034,1176
27,1200,1176
28,1200,1413
29,1504,1176
30,1200,279
31,72,647
32,907,1176
33,1200,911
34,1200,1068
35,1287,1176
36,1200,731
37,1200,237
38,808,126
39,634,1176
40,1200,667
41,263,1176
42,1246,1341
43,358,505
44,1200,1321
45,1051,1305
46,808,1390
47,1246,1176
48,1200,1176
49,1200,853
50,593,667
51,1246,1176
52,374,911
53,1045,149
54,1200,1107
55,258,190
56,343,346
57,1200,1176
58,109,1176
59,1200,83
60,1462,1068
61,1144,276
62,687,1176
63,687,911
64,1200,1262
65,231,645
66,1200,474
67,831,1493
68,292,1132
69,831,1497
70,1200,233
71,499,1176
72,1031,1176
73,100,1390
74,292,1176
75,1200,330
76,1200,1176
77,105,1176
78,1142,1225
79,1200,1176
80,1110,368
81,1200,1176
82,1526,510
83,1200,667
84,1200,149
85,1092,278
86,374,1225
87,363,884
88,231,1176
89,1200,1176
90,1200,775
91,1200,1225
92,103,1176
93,1200,1260
94,898,1473
95,117,279
96,907,998
97,1200,467
98,1504,1176
99,1200,1176
100,671,1423
101,1200,1390
102,932,1225
103,1200,98
104,657,514
105,209,597
106,1200,228
107,1200,1156
108,932,1337
109,687,963
110,1124,438
111,415,1176
112,363,205
113,1200,119
114,887,510
115,794,1478
116,1200,1105
117,1200,1176
118,1200,853
119,363,1176
120,152,1176
121,1200,1176
122,1181,1176
123,1419,1121
124,1246,1225
125,1081,1176
126,1200,1043
127,1246,846
128,1321,1176
129,292,1176
130,1200,1176
131,1200,250
132,1305,1122
133,105,401
134,1200,69
135,687,270
136,1200,1176
137,488,775
138,1200,415
139,1538,1176
140,1200,1400
141,1200,1176
142,1246,1225
143,932,1390
144,1200,510
145,932,1176
146,974,382
147,1200,1176
148,1246,102
149,1033,279
150,292,1176
151,887,201
152,429,1176
153,1095,1176
154,907,613
155,207,133
156,1200,279
157,932,1024
158,342,641
159,1200,1176
160,687,119
161,292,1176
162,901,667
163,1200,331
164,363,856
165,1219,911
166,1200,1176
167,1200,1176
168,363,1070
169,1200,846
170,932,279
171,1200,1030
172,263,1390
173,932,987
174,1200,1176
175,1024,250
176,77,1361
177,1200,1176
178,535,939
179,1200,99
180,292,911
181,559,1176
182,1200,1176
183,1523,279
184,1200,1176
185,1200,1166
186,709,1132
187,1034,350
188,1200,1270
189,207,229
190,1200,444
191,1200,1176
192,344,884
193,1246,1390
194,1200,510
195,1200,786
196,1254,425
197,350,569
198,1200,1176
199,1200,1176
200,898,1176
201,808,1321
202,1200,1176
203,281,1176
204,267,1473
205,932,1164
206,1200,117
207,687,1176
208,1200,1176
209,105,846
210,869,786
211,1134,494
212,231,1176
213,109,1176
214,803,1225
215,1200,1176
216,1200,869
217,877,1008
218,518,1176
219,1200,1176
220,1200,1176
221,1200,1176
222,1419,884
223,1200,1176
224,907,1176
225,1200,98
226,1246,1176
227,1115,969
228,355,424
229,392,1176
230,1200,1176
231,737,346
232,1144,911
233,1124,1176
234,932,1132
235,1246,911
236,907,884
237,1200,1214
238,430,494
239,1031,1390
240,1200,1497
241,932,345
242,1200,201
243,1007,1176
244,1200,1267
245,363,1176
246,1200,1132
247,1200,1176
248,1200,1176
249,1200,1161
250,363,786
251,1517,667
252,1200,693
253,1246,1176
254,535,779
255,1200,707
256,527,1176
257,460,911
258,687,228
259,231,981
260,932,536
261,808,1176
262,1200,1225
263,1200,1176
264,1200,256
265,869,510
266,1200,667
267,1200,1051
268,292,833
269,1200,1132
270,687,1262
271,1066,1002
272,1200,387
273,1200,331
274,1523,151
275,1200,1107
276,363,636
277,1200,667
278,814,102
279,1200,279
280,1200,1431
281,363,911
282,231,1176
283,932,101
284,1200,770
285,297,228
286,907,513
287,292,911
288,231,279
289,386,1176
290,1246,300
291,231,1161
292,932,1093
293,1200,1497
294,1200,938
295,460,33
296,977,1176
297,344,119
298,932,1176
299,1432,707
300,808,1176
301,81,1395
302,207,1176
303,1504,846
304,1200,298
305,1200,1176
306,190,1132
307,1200,1176
308,1200,1252
309,1200,1176
310,1200,279
311,433,667
312,732,1176
313,1003,1176
314,1200,1176
315,687,1176
316,788,1176
317,386,228
318,230,705
319,105,1196
320,1028,1176
321,1200,1262
322,1516,407
323,1200,1400
324,1200,98
325,932,1176
326,1200,1030
327,1246,1176
328,206,1176
329,732,510
330,207,346
331,344,667
332,105,1176
333,1200,1176
334,1200,947
335,898,198
336,1200,1347
337,932,1176
338,1200,1431
339,956,89
340,231,667
341,559,1176
342,977,766
343,374,911
344,1200,218
345,1200,1176
346,528,1176
347,698,707
348,1200,1176
349,1200,1349
350,1066,228
351,292,667
352,1200,1308
353,134,98
354,1246,98
355,231,667
356,1200,748
357,209,697
358,923,1176
359,292,1196
360,1200,884
361,892,1176
362,1200,667
363,146,226
364,1200,615
365,1200,1146
366,854,317
367,1200,813
368,1200,1176
369,1200,270
370,1200,365
371,1200,911
372,134,1176
373,215,1390
374,344,1176
375,1200,1176
376,788,686
377,1200,1176
378,869,1431
379,342,1176
380,1430,1176
381,1200,667
382,292,1176
383,363,1068
384,374,618
385,1274,1176
386,1246,146
387,1200,1176
388,1491,1176
389,1200,716
390,1200,1132
391,1200,1105
392,989,346
393,1200,1176
394,687,723
395,1410,1176
396,559,1493
397,932,884
398,363,1176
399,1200,1176
400,1200,331
401,932,911
